"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-10-04 07:08:33",1759561713041,"bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app/","GET","",-1,"brb54-1759561712953-f356a1b0f35d","vercel-favicon/1.0","error","production","main","","lambda","/","bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app","bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app","dpl_9kAVn1pkppPh3h22LBLUYFqc6gHm",-1,"iad1",-1,-1,"Error [InvariantError]: Invariant: Expected clientReferenceManifest to be defined. This is a bug in Next.js.
    at k (.next/server/app/(dashboard)/page.js:1:4385)
    at m (.next/server/app/(dashboard)/page.js:1:7016)
    at o (.next/server/app/(dashboard)/page.js:2:1779)
    at responseGenerator (.next/server/app/(dashboard)/page.js:2:1917) {
  page: '/'
}","prj_Zlc58ooFbMlarWKA6t0Ja7eGqxO7","","","01K6Q0T1BNA3HCCBXTKE3ANX1F","",-1
"2025-10-04 07:08:33",1759561713035,"bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app/","GET","",-1,"brb54-1759561712953-f356a1b0f35d","vercel-favicon/1.0","error","production","main","","lambda","/","bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app","bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app","dpl_9kAVn1pkppPh3h22LBLUYFqc6gHm",-1,"iad1",-1,-1,"⨯ Error [InvariantError]: Invariant: Expected clientReferenceManifest to be defined. This is a bug in Next.js.
    at k (.next/server/app/(dashboard)/page.js:1:4385)
    at m (.next/server/app/(dashboard)/page.js:1:7016)
    at o (.next/server/app/(dashboard)/page.js:2:1779)
    at responseGenerator (.next/server/app/(dashboard)/page.js:2:1917) {
  page: '/'
}","prj_Zlc58ooFbMlarWKA6t0Ja7eGqxO7","","","01K6Q0T1BNA3HCCBXTKE3ANX1F","",-1
"2025-10-04 07:08:33",1759561713034,"bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app/","GET","",-1,"brb54-1759561712953-f356a1b0f35d","vercel-favicon/1.0","error","production","main","","lambda","/","bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app","bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app","dpl_9kAVn1pkppPh3h22LBLUYFqc6gHm",-1,"iad1",-1,-1,"Error [InvariantError]: Invariant: Expected clientReferenceManifest to be defined. This is a bug in Next.js.
    at k (.next/server/app/(dashboard)/page.js:1:4385)
    at m (.next/server/app/(dashboard)/page.js:1:7016)
    at o (.next/server/app/(dashboard)/page.js:2:1779)
    at responseGenerator (.next/server/app/(dashboard)/page.js:2:1917)","prj_Zlc58ooFbMlarWKA6t0Ja7eGqxO7","","","01K6Q0T1BNA3HCCBXTKE3ANX1F","",-1
"2025-10-04 07:08:33",1759561713013,"bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app/","GET","",500,"brb54-1759561712953-f356a1b0f35d","vercel-favicon/1.0","error","production","main","","lambda","/","bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app","bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app","dpl_9kAVn1pkppPh3h22LBLUYFqc6gHm",18,"iad1",130,2048,"","prj_Zlc58ooFbMlarWKA6t0Ja7eGqxO7","","","01K6Q0T1BNA3HCCBXTKE3ANX1F","GYubTQSTyNbi",1
"2025-10-04 07:08:32",1759561712048,"bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app/favicon.ico","GET","",200,"q2nv2-1759561711970-5e240befbed6","vercel-screenshot/1.0","info","production","main","PRERENDER","static","/favicon.ico","bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app","bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app","dpl_9kAVn1pkppPh3h22LBLUYFqc6gHm",-1,"",-1,-1,"","prj_Zlc58ooFbMlarWKA6t0Ja7eGqxO7","","","","",-1
"2025-10-04 07:08:32",1759561712022,"bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app/favicon.ico","GET","",200,"sk8rd-1759561711843-dc6a30e949c7","vercel-screenshot/1.0","info","production","main","PRERENDER","static","/favicon.ico","bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app","bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app","dpl_9kAVn1pkppPh3h22LBLUYFqc6gHm",-1,"",-1,-1,"","prj_Zlc58ooFbMlarWKA6t0Ja7eGqxO7","","","","",-1
"2025-10-04 07:08:31",1759561711845,"bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app/","GET","",-1,"nfc8f-1759561711681-c7e32e04f5f0","vercel-screenshot/1.0","error","production","main","","lambda","/","bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app","bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app","dpl_9kAVn1pkppPh3h22LBLUYFqc6gHm",-1,"iad1",-1,-1,"Error [InvariantError]: Invariant: Expected clientReferenceManifest to be defined. This is a bug in Next.js.
    at k (.next/server/app/(dashboard)/page.js:1:4385)
    at m (.next/server/app/(dashboard)/page.js:1:7016)
    at o (.next/server/app/(dashboard)/page.js:2:1779)
    at responseGenerator (.next/server/app/(dashboard)/page.js:2:1917) {
  page: '/'
}","prj_Zlc58ooFbMlarWKA6t0Ja7eGqxO7","","","01K6Q0T063A692YGRAGX06DSC4","",-1
"2025-10-04 07:08:31",1759561711839,"bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app/","GET","",-1,"jtvsj-1759561711764-af26e5d28690","vercel-favicon/1.0","error","production","main","","lambda","/","bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app","bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app","dpl_9kAVn1pkppPh3h22LBLUYFqc6gHm",-1,"iad1",-1,-1,"Error [InvariantError]: Invariant: Expected clientReferenceManifest to be defined. This is a bug in Next.js.
    at k (.next/server/app/(dashboard)/page.js:1:4385)
    at m (.next/server/app/(dashboard)/page.js:1:7016)
    at o (.next/server/app/(dashboard)/page.js:2:1779)
    at responseGenerator (.next/server/app/(dashboard)/page.js:2:1917) {
  page: '/'
}","prj_Zlc58ooFbMlarWKA6t0Ja7eGqxO7","","","01K6Q0T063A692YGRAGV9DGZY4","",-1
"2025-10-04 07:08:31",1759561711834,"bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app/","GET","",-1,"nfc8f-1759561711681-c7e32e04f5f0","vercel-screenshot/1.0","error","production","main","","lambda","/","bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app","bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app","dpl_9kAVn1pkppPh3h22LBLUYFqc6gHm",-1,"iad1",-1,-1,"⨯ Error [InvariantError]: Invariant: Expected clientReferenceManifest to be defined. This is a bug in Next.js.
    at k (.next/server/app/(dashboard)/page.js:1:4385)
    at m (.next/server/app/(dashboard)/page.js:1:7016)
    at o (.next/server/app/(dashboard)/page.js:2:1779)
    at responseGenerator (.next/server/app/(dashboard)/page.js:2:1917) {
  page: '/'
}","prj_Zlc58ooFbMlarWKA6t0Ja7eGqxO7","","","01K6Q0T063A692YGRAGX06DSC4","",-1
"2025-10-04 07:08:31",1759561711834,"bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app/","GET","",-1,"nfc8f-1759561711681-c7e32e04f5f0","vercel-screenshot/1.0","error","production","main","","lambda","/","bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app","bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app","dpl_9kAVn1pkppPh3h22LBLUYFqc6gHm",-1,"iad1",-1,-1,"Error [InvariantError]: Invariant: Expected clientReferenceManifest to be defined. This is a bug in Next.js.
    at k (.next/server/app/(dashboard)/page.js:1:4385)
    at m (.next/server/app/(dashboard)/page.js:1:7016)
    at o (.next/server/app/(dashboard)/page.js:2:1779)
    at responseGenerator (.next/server/app/(dashboard)/page.js:2:1917)","prj_Zlc58ooFbMlarWKA6t0Ja7eGqxO7","","","01K6Q0T063A692YGRAGX06DSC4","",-1
"2025-10-04 07:08:31",1759561711832,"bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app/","GET","",-1,"jtvsj-1759561711764-af26e5d28690","vercel-favicon/1.0","error","production","main","","lambda","/","bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app","bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app","dpl_9kAVn1pkppPh3h22LBLUYFqc6gHm",-1,"iad1",-1,-1,"⨯ Error [InvariantError]: Invariant: Expected clientReferenceManifest to be defined. This is a bug in Next.js.
    at k (.next/server/app/(dashboard)/page.js:1:4385)
    at m (.next/server/app/(dashboard)/page.js:1:7016)
    at o (.next/server/app/(dashboard)/page.js:2:1779)
    at responseGenerator (.next/server/app/(dashboard)/page.js:2:1917) {
  page: '/'
}","prj_Zlc58ooFbMlarWKA6t0Ja7eGqxO7","","","01K6Q0T063A692YGRAGV9DGZY4","",-1
"2025-10-04 07:08:31",1759561711832,"bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app/","GET","",-1,"jtvsj-1759561711764-af26e5d28690","vercel-favicon/1.0","error","production","main","","lambda","/","bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app","bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app","dpl_9kAVn1pkppPh3h22LBLUYFqc6gHm",-1,"iad1",-1,-1,"Error [InvariantError]: Invariant: Expected clientReferenceManifest to be defined. This is a bug in Next.js.
    at k (.next/server/app/(dashboard)/page.js:1:4385)
    at m (.next/server/app/(dashboard)/page.js:1:7016)
    at o (.next/server/app/(dashboard)/page.js:2:1779)
    at responseGenerator (.next/server/app/(dashboard)/page.js:2:1917)","prj_Zlc58ooFbMlarWKA6t0Ja7eGqxO7","","","01K6Q0T063A692YGRAGV9DGZY4","",-1
"2025-10-04 07:08:31",1759561711811,"bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app/","GET","",500,"nfc8f-1759561711681-c7e32e04f5f0","vercel-screenshot/1.0","error","production","main","","lambda","/","bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app","bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app","dpl_9kAVn1pkppPh3h22LBLUYFqc6gHm",25,"iad1",130,2048,"","prj_Zlc58ooFbMlarWKA6t0Ja7eGqxO7","","","01K6Q0T063A692YGRAGX06DSC4","GYubTQSTyNbi",1
"2025-10-04 07:08:31",1759561711811,"bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app/","GET","",500,"jtvsj-1759561711764-af26e5d28690","vercel-favicon/1.0","error","production","main","","lambda","/","bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app","bemsspace-p3k6kdxwj-mr-nachts-projects.vercel.app","dpl_9kAVn1pkppPh3h22LBLUYFqc6gHm",18,"iad1",147,2048,"","prj_Zlc58ooFbMlarWKA6t0Ja7eGqxO7","","","01K6Q0T063A692YGRAGV9DGZY4","6DIE60bxiQp2",1
